x		Original Function		Spline
-3.0		0.3715794791208837		0.3715794791208836
-2.94		0.37540534245641416		0.37540294204824404
-2.88		0.3806102808002867		0.3806069253607542
-2.82		0.38723125013501464		0.38723053468997315
-2.76		0.3953148629546665		0.3953138111457524
-2.7		0.4049174167136042		0.4049138658045082
-2.64		0.41610489860726185		0.41610272349570643
-2.58		0.42895294936198125		0.42895291680827863
-2.52		0.4435467651642331		0.44354422458071163
-2.46		0.45998091314022166		0.45997774085176824
-2.4		0.4783590319631182		0.47835845923406856
-2.34		0.49879338531408046		0.49879262894184023
-2.2800000000000002		0.5214042321976122		0.5214017216426223
-2.2199999999999998		0.5463189747065791		0.5463173356441822
-2.16		0.5736710409995811		0.5736712690308918
-2.1		0.6035984593060766		0.60359857138606
-2.04		0.6362420780856115		0.6362414081153365
-1.98		0.6717433884652412		0.6717428863060151
-1.92		0.7102419082366972		0.7102446576183796
-1.86		0.7518720925111416		0.7518760639549154
-1.8		0.7967597451021566		0.7967602575527517
-1.74		0.8450179172960794		0.8450199871889116
-1.6800000000000002		0.8967422972463964		0.896752588315468
-1.62		0.9520061140269573		0.9520135027462504
-1.56		1.0108546054229437		1.0108542592417427
-1.5		1.073299127581717		1.0733113377758914
-1.44		1.1393110171027385		1.1393297563729
-1.3800000000000001		1.2088153510372321		1.2088201678888155
-1.32		1.2816847861814993		1.2816906548216254
-1.26		1.3577336941252527		1.3577592747220837
-1.2000000000000002		1.4367128404804987		1.436731303157672
-1.1400000000000001		1.5183048829401395		1.5183048829802064
-1.08		1.6021209804430647		1.6021399805055236
-1.02		1.687698811845016		1.6877272006265107
-0.96		1.774502294373275		1.7745101997226973
-0.8999999999999999		1.8619232674733064		1.8619273925012794
-0.8399999999999999		1.9492853648496147		1.9493058990400582
-0.7800000000000002		2.035850235972105		2.0358664400495
-0.7200000000000002		2.1208261987185546		2.1208254702852654
-0.6600000000000001		2.2033793092314804		2.2033782597607208
-0.6000000000000001		2.2826467270631556		2.28265110901538
-0.54		2.357752138296237		2.357756306717303
-0.48		2.4278228828456383		2.427810146157317
-0.41999999999999993		2.492008321766552		2.491984193621717
-0.3600000000000003		2.5494988837395582		2.5494903060767395
-0.30000000000000027		2.5995451544453583		2.5995415289562604
-0.2400000000000002		2.6414763249486035		2.641436126939533
-0.18000000000000016		2.674717300716567		2.674677882234975
-0.1200000000000001		2.6988037947387475		2.6988009365718835
-0.06000000000000005		2.7133947872003725		2.713368914327098
0.0		2.718281828459045		2.718225450216238
0.06000000000000005		2.7133947872003725		2.71336891430574
0.1200000000000001		2.6988037947387475		2.6988009365934476
0.17999999999999972		2.6747173007165674		2.6746778823632886
0.23999999999999977		2.641476324948604		2.641436127120835
0.2999999999999998		2.5995451544453587		2.599541529006868
0.3599999999999999		2.5494988837395587		2.5494903057382783
0.41999999999999993		2.492008321766552		2.491984192935006
0.48		2.4278228828456383		2.427810145617406
0.54		2.357752138296237		2.35775630725447
0.5999999999999996		2.282646727063156		2.28265111113556
0.6599999999999997		2.203379309231481		2.2033782623662943
0.7199999999999998		2.1208261987185555		2.1208254705896237
0.7799999999999998		2.035850235972106		2.0358664346517874
0.8399999999999999		1.9492853648496147		1.9493058892152937
0.8999999999999999		1.8619232674733064		1.8619273858252763
0.96		1.774502294373275		1.7745102095133811
1.0199999999999996		1.687698811845017		1.6877272319799688
1.08		1.6021209804430647		1.6021400156896028
1.1399999999999997		1.5183048829401402		1.5183048807475819
1.2000000000000002		1.4367128404804987		1.4367312192747232
1.2599999999999998		1.357733694125253		1.3577591360244838
1.3200000000000003		1.281684786181499		1.2816905759075474
1.38		1.2088153510372324		1.20882033717582
1.4399999999999995		1.1393110171027392		1.139330215630374
1.5		1.073299127581717		1.0733118061432187
1.5599999999999996		1.0108546054229441		1.0108541290020936
1.62		0.9520061140269573		0.9520122172446487
1.6799999999999997		0.8967422972463968		0.8967506477773455
1.7400000000000002		0.8450179172960792		0.8450191142135001
1.7999999999999998		0.7967597451021567		0.7967630808866499
1.8599999999999994		0.7518720925111421		0.7518827329323199
1.92		0.7102419082366972		0.7102507884284884
1.9799999999999995		0.6717433884652415		0.6717395837768186
2.04		0.6362420780856115		0.6362219460836205
2.0999999999999996		0.6035984593060769		0.6035716783488995
2.16		0.5736710409995811		0.5736626989560861
2.2199999999999998		0.5463189747065791		0.5463631693279017
2.2799999999999994		0.5214042321976126		0.5214977483829337
2.34		0.49879338531408046		0.498871217035624
2.3999999999999995		0.4783590319631183		0.4782904917678377
2.46		0.45998091314022166		0.45968628028164615
2.5199999999999996		0.44354676516423314		0.44317537431367804
2.58		0.42895294936198125		0.42888991446766606
2.6399999999999997		0.41610489860726196		0.4168311631028671
2.7		0.4049174167136042		0.4062849977455187
2.76		0.3953148629546665		0.3962940959068033
2.8199999999999994		0.3872312501350147		0.388236908043831
2.88		0.3806102808002867		0.38243621184760224
2.9399999999999995		0.37540534245641416		0.3766631917069
3.0		0.3715794791208837		0.3715794791208836
